	sampleID	seqID	patientID	experiment	Time	group	group2	Bacteroidaceae	Bacteroidales_S24.7_group	Bacteroidales_unclassified	Rikenellaceae	Porphyromonadaceae	Bacteroidetes_unclassified	Prevotellaceae	Flavobacteriaceae	Cytophagaceae	Sphingobacteriaceae	Lactobacillaceae	Lachnospiraceae	Erysipelotrichaceae	Peptostreptococcaceae	Ruminococcaceae	Family_XIII	Enterococcaceae	Paenibacillaceae	Clostridiales_unclassified	Staphylococcaceae	Firmicutes_unclassified	Bacillaceae	Listeriaceae	Lactobacillales_unclassified	Streptococcaceae	Clostridia_unclassified	Bacilli_unclassified	Family_XI	Clostridiaceae_1	Bacillales_unclassified	Christensenellaceae	Veillonellaceae	Leuconostocaceae	Acidaminococcaceae	Thermoactinomycetaceae	Planococcaceae	Eubacteriaceae	Aerococcaceae	Carnobacteriaceae	Peptococcaceae	Enterobacteriaceae	Pseudomonadaceae	Mitochondria	Oxalobacteraceae	Comamonadaceae	Xanthomonadaceae	Gammaproteobacteria_unclassified	Desulfovibrionaceae	Campylobacteraceae	Moraxellaceae	Hyphomicrobiaceae	Campylobacterales_unclassified	Brucellaceae	Phyllobacteriaceae	Rhizobiaceae	Halomonadaceae	Bradyrhizobiaceae	Rhizobiales_unclassified	Rhodobacteraceae	Betaproteobacteria_unclassified	Alcaligenaceae	Burkholderiaceae	Burkholderiales_unclassified	Alphaproteobacteria_unclassified	Caulobacteraceae	Methylobacteriaceae	Nevskiaceae	Bifidobacteriaceae	Coriobacteriaceae	Actinobacteria_unclassified	Corynebacteriaceae	Microbacteriaceae	Actinobacteria_unclassified.1	Actinomycetaceae	Brevibacteriaceae	Cellulomonadaceae	Pseudonocardiaceae	Micrococcales_unclassified	Streptomycetaceae	Corynebacteriales_unclassified	Micrococcaceae	Nocardiaceae	Micromonosporaceae	Verrucomicrobiaceae	Verrucomicrobiales_unclassified	Verrucomicrobia_unclassified	Fusobacteriaceae	Mollicutes_unclassified	Mollicutes_RF9_fa	Mycoplasmataceae	Synergistaceae	Unknown_Family	Bacteria_unclassified	unknown_unclassified	Chloroplast_fa	Obscuribacterales_fa	Methanobacteriaceae
1	17751cec	17751cec	17751	chen_model	28	xg	xg	1.80039693790757	12.3287023910783	2.13590397882998	0.500897835743313	0	0	0	0	0	0	1.11520650222096	47.3773745392685	0.151214440979114	0	5.88791229562423	0.207919856346281	0	0	0.798601266420943	0.0047254512805973	0.0425290615253757	0	0	0	0.0047254512805973	0.0047254512805973	0	0	0	0	0.0330781589641811	0	0	0	0	0	0	0	0	0	0.0283527076835838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.552877799829884	0.0330781589641811	0.0141763538417919	0	0	0	0	0	0	0	0	0	0	0	0	0	15.9342217181741	0.614308666477649	0.0992344768925432	0	0	0	0	0	0	10.3298364993857	0	0	0	0
2	17751n01	17751n01	17751	chen_model	-1	xg	xg	21.3674816398624	19.7452821418611	2.79817793064981	0	0.00464813609742493	0	0.00464813609742493	0	0	0	9.82151157385888	0.395091568281119	4.53658083108673	0.00464813609742493	0.33001766291717	0	0	0.00464813609742493	0.199869852189272	0.00464813609742493	0.0139444082922748	0	0	0.00464813609742493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1276378172353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48675281212234	0.00464813609742493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.4750395091568	0.994701124848936	0.176629171702147	0	0	0	0	0	0	5.49409686715627	0	0.00464813609742493	0	0
3	17751n06	17751n06	17751	chen_model	-6	xg	xg	5.60767365869084	29.4613681880468	2.83018867924528	0.205544429218931	0	0.00527036997997259	0	0	0	0	2.26625909138822	11.0730473279224	1.81300727311057	0.00527036997997259	3.03046273848424	0.0632444397596711	0	0	0.421629598397808	0.0158111099399178	0.0158111099399178	0	0	0	0	0.00527036997997259	0	0.0105407399599452	0	0	0.0105407399599452	0	0	0	0	0	0	0	0	0	0.0737851797196163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46537366923158	0.511225888057342	0.722040687256245	0	0	0	0	0	0	0	0	0	0	0	0	0	20.0642985137557	1.00664066617477	0.268788868978602	0	0	0	0	0	0	15.0363655528618	0.0105407399599452	0	0	0
4	17751n08	17751n08	17751	chen_model	-8	xg	xg	3.08024551034326	35.877472152762	4.91588997499432	4.77381223005228	0	0.0681973175721755	0.0170493293930439	0	0	0	13.0029552170948	4.75676290065924	4.32484655603546	0	1.84701068424642	0.0681973175721755	0	0	0.812684701068425	0.0113662195953626	0.0170493293930439	0	0	0	0.0284155489884065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0511479881791316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38190497840418	0.670606956126392	0.949079336212776	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1557172084565	0.585360309161173	0.102295976358263	0	0	0.0340986587860877	0	0	0	8.46215048874744	0	0.00568310979768129	0	0
5	17751p00	17751p00	17751	chen_model	0	xg	xg	0.618478626725008	0.677381353079771	0.151464153483676	0.0126220127903063	0.00420733759676876	0	0	0	0	0	13.4003702457085	0.256647593402895	0.328172332547964	0	1.02659037361158	0.00841467519353753	0	0	0.071524739145069	0.0126220127903063	0.00420733759676876	0	0	0.00420733759676876	0	0	0	0	0	0	0	0	0.00420733759676876	0	0	0	0	0	0	0	71.2722988892629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0210366879838438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.7665769101313	0.824638168966678	0.252440255806126	0	0	0	0	0	0	0.281891618983507	0	0	0	0
6	17751p01	17751p01	17751	chen_model	1	xg	xg	30.2761489500326	10.4946624567734	0.110259108905929	0.0100235553550844	0	0	0	0	0	0	4.62587079637147	2.31042950934697	1.20282664261013	0	0.862025760537263	0.0651531098080489	0.0250588883877111	0	0.456071768656342	0	0.0100235553550844	0	0	0.00501177767754222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.2172104445447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285671327619907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.9636646118378	1.53360396932792	0.125294441938556	0	0	0	0	0	0	0.420989324913547	0	0	0	0
7	17751p04	17751p04	17751	chen_model	4	xg	xg	16.4145004061738	23.5783915515841	4.08712428919578	3.04122664500406	0.00507717303005686	0	0.00507717303005686	0	0	0	2.72644191714054	14.2668562144598	1.43683996750609	0	5.10763606823721	0.299553208773355	0	0.00507717303005686	0.5178716490658	0	0.157392363931763	0	0	0	0	0.0203086921202275	0	0	0	0	0	0	0	0	0	0	0.00507717303005686	0	0	0	0.538180341186028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710804224207961	0.111697806661251	0.00507717303005686	0	0	0	0	0	0	0	0	0	0	0	0	0	22.7406580016247	1.41145410235581	0.279244516653128	0	0	0	0	0	0	2.52843216896832	0	0	0	0
8	17751p07	17751p07	17751	chen_model	7	xg	xg	7.81767539897621	25.9259259259259	2.46537187594098	1.40018066847335	0	0	0	0	0	0	1.01626016260163	25.5081300813008	0.398976211984342	0.00376392652815417	6.05615778380006	0.120445648900933	0	0	0.557061126166817	0	0.131737428485396	0	0	0	0.00376392652815417	0.0564588979223126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0301114122252334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06142728093948	0.150557061126167	0.127973501957242	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8560674495634	1.01626016260163	0.312405901836796	0	0	0	0	0	0	7.983288166215	0	0	0	0
9	17752cec	17752cec	17752	chen_model	28	xg	xg	7.5508716856326	23.2524244632547	3.16721789337967	1.92275351757385	0	0	0	0	0	0	0.470878412467067	29.5420146869219	0.0784797354111778	0.0056056953865127	7.74707102416055	0.280284769325635	0.0056056953865127	0	1.00341947418577	0	0.106508212343741	0	0	0	0.0056056953865127	0.0056056953865127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0224227815460508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.532541061718706	0.0840854307976905	0.0840854307976905	0	0	0	0	0	0	0	0	0	0	0	0	0	16.9852570211335	0.622232187902909	0.190593643141432	0	0	0	0	0	0	6.33443578675935	0	0	0	0
10	17752n01	17752n01	17752	chen_model	-1	xg	xg	26.0404919177273	17.6413726437893	3.52290424789216	0.1503678642393	0.00537028086568928	0	0	0	0	0	9.20466140379142	2.27699908705225	1.39090274421352	0.00537028086568928	1.01498308361527	0.0214811234627571	0	0.0107405617313786	0.547768648300306	0	0.107405617313786	0	0	0.0107405617313786	0.00537028086568928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.43558348101606	0.0107405617313786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33719993555663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.8409322807583	1.17609150958595	0.279254605015842	0	0	0	0	0	0	3.96326727887869	0	0	0	0
